2.417588233947753906e-02,2.296686172485351562e-02,1.828575134277343750e-02,1.833677291870117188e-02,1.912879943847656250e-02,3.079414367675781250e-02,1.681399345397949219e-02,2.128529548645019531e-02,1.861500740051269531e-02,1.858210563659667969e-02
4.042792320251464844e-02,2.973794937133789062e-02,3.353905677795410156e-02,4.372406005859375000e-02,3.020596504211425781e-02,3.110194206237792969e-02,5.676174163818359375e-02,5.227589607238769531e-02,3.590106964111328125e-02,3.982424736022949219e-02
9.772086143493652344e-02,4.566693305969238281e-02,4.480195045471191406e-02,4.412221908569335938e-02,9.988713264465332031e-02,1.364519596099853516e-01,8.695602416992187500e-02,8.927917480468750000e-02,8.408284187316894531e-02,8.894801139831542969e-02
9.997200965881347656e-02,1.138412952423095703e-01,1.050920486450195312e-01,1.195960044860839844e-01,1.547839641571044922e-01,1.217718124389648438e-01,1.185722351074218750e-01,2.388560771942138672e-01,9.015488624572753906e-02,2.162449359893798828e-01
1.755011081695556641e-01,2.107989788055419922e-01,1.503167152404785156e-01,1.613130569458007812e-01,1.611237525939941406e-01,1.981608867645263672e-01,1.416556835174560547e-01,1.199710369110107422e-01,1.706397533416748047e-01,1.739711761474609375e-01
2.091629505157470703e-01,2.835099697113037109e-01,2.175800800323486328e-01,2.350242137908935547e-01,2.386302947998046875e-01,2.402729988098144531e-01,2.471868991851806641e-01,2.492399215698242188e-01,2.193658351898193359e-01,1.891520023345947266e-01
2.950000762939453125e-01,2.839930057525634766e-01,2.777729034423828125e-01,2.983019351959228516e-01,3.376891613006591797e-01,3.522660732269287109e-01,3.308601379394531250e-01,3.915448188781738281e-01,3.832409381866455078e-01,4.217820167541503906e-01
4.735608100891113281e-01,2.782459259033203125e-01,3.769268989562988281e-01,4.071469306945800781e-01,2.339680194854736328e-01,2.057828903198242188e-01,1.760659217834472656e-01,4.329028129577636719e-01,3.624029159545898438e-01,5.405597686767578125e-01
3.371911048889160156e-01,2.453837394714355469e-01,2.238640785217285156e-01,3.877387046813964844e-01,4.545779228210449219e-01,4.481937885284423828e-01,4.564218521118164062e-01,2.283148765563964844e-01,6.031780242919921875e-01,5.299310684204101562e-01
5.562679767608642578e-01,5.633630752563476562e-01,3.241689205169677734e-01,5.443530082702636719e-01,5.767078399658203125e-01,5.679981708526611328e-01,6.592597961425781250e-01,3.015291690826416016e-01,5.493140220642089844e-01,3.885438442230224609e-01
